"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rosenborg","2006","tippeligaen","0","0","0","0","-","-","0","0","none","none"
"olympiacos","2006-07","superleague greece","0","0","0","0","-","-","0","0","none","none"
"tirana","2007-08","albanian superliga","32","2","1","0","-","-","1","0","34","2"
"1. fsv mainz 05","2008-09","2. bundesliga","5","0","2","0","-","-","7","0","none","none"
"1. fsv mainz 05","2009-10","bundesliga","8","0","1","0","-","-","9","0","none","none"
"1. fsv mainz 05","total","total","13","0","3","0","-","-","16","0","none","none"
"panionios","2010-11","superleague greece","9","0","1","0","-","-","10","0","none","none"
"tirana","2010-11","albanian superliga","11","4","4","0","-","-","15","4","none","none"
"luzern","2011-12","swiss super league","30","5","4","2","-","-","34","7","none","none"
"luzern","2012-13","swiss super league","29","0","1","0","1","0","-","-","31","0"
"luzern","2013-14","swiss super league","30","2","5","3","-","-","35","5","none","none"
"luzern","2014-15","swiss super league","22","0","2","0","2","0","-","-","26","0"
"luzern","2015-16","swiss super league","35","4","5","3","-","-","40","7","none","none"
"luzern","2016-17","swiss super league","15","6","2","0","2","0","-","-","19","6"
"luzern","total","total","161","17","19","8","5","0","-","-","185","25"
"san jose","2017","major league soccer","30","3","-","-","3","0","-","-","33","3"
"san jose","2018","major league soccer","1","1","-","-","0","0","-","-","1","1"
"san jose","total","total","31","4","-","-","3","0","-","-","34","4"
"career total","career total","career total","257","27","28","8","8","0","1","0","294","35"
