"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"milan","1988-89","serie a","1","0","-","-","-","-","-","-","1","0"
"milan","1989-90","serie a","1","0","-","-","-","-","-","-","1","0"
"milan","1990-91","serie a","-","-","2","0","-","-","-","-","2","0"
"padova","1990-91","serie b","28","5","-","-","-","-","-","-","28","5"
"milan","1991-92","serie a","28","3","5","0","-","-","-","-","33","3"
"milan","1992-93","serie a","29","2","6","0","7","1","1","0","43","3"
"milan","1993-94","serie a","26","3","0","0","13","1","2","0","41","4"
"milan","1994-95","serie a","30","2","4","0","11","0","2","0","47","2"
"milan","1995-96","serie a","30","0","3","0","5","0","-","-","38","0"
"milan","1996-97","serie a","29","8","2","0","5","1","1","0","37","9"
"milan","1997-98","serie a","28","0","9","2","-","-","-","-","37","2"
"milan","1998-99","serie a","29","2","3","0","-","-","-","-","32","2"
"milan","1999-2000","serie a","26","1","1","0","5","0","1","0","33","1"
"milan","2000-01","serie a","12","0","2","0","11","2","-","-","25","2"
"milan","2001-02","serie a","24","0","4","0","8","0","-","-","36","0"
"atletico madrid","2002-03","la liga","28","2","2","1","-","-","-","-","30","3"
"lazio","2003-04","serie a","23","2","4","0","8","0","-","-","35","2"
"atalanta","2004-05","serie a","14","1","2","1","-","-","-","-","16","2"
"barcelona","2004-05","la liga","5","0","-","-","1","0","-","-","6","0"
"total for milan","total for milan","total for milan","293","21","41","2","65","5","7","0","406","28"
"career total","career total","career total","391","31","49","4","74","5","7","0","521","40"
