"number of children aged 15 and younger","former methodology","former methodology","former methodology","former methodology","new methodology","new methodology","new methodology","new methodology"
"number of children aged 15 and younger","number of adults","number of adults","number of adults","number of adults","number of adults","number of adults","number of adults","number of adults"
"number of children aged 15 and younger","1","2","3","4","1","2","3","4"
"0","$18,213","$25,498","$32,783","$40,069","$20,137","$28,478","$34,878","$40,274"
"1","$25,498","$30,962","$38,247","$45,533","$28,478","$34,878","$40,274","$45,028"
"2","$30,962","$36,426","$43,711","$50,996","$34,878","$40,274","$45,028","$49,325"
"3","$36,426","$41,890","$49,175","$56,460","$40,274","$45,028","$49,325","$53,277"
"4","$41,890","$47,354","$54,639","$61,924","$45,028","$49,325","$53,277","$56,956"
"5","$47,354","$52,818","$60,103","$67,388","$49,325","$53,277","$56,956","$60,411"
"6","$52,818","$58,282","$65,567","$72,852","$53,277","$56,956","$60,411","$63,679"
"7","$58,282","$63,746","$71,031","$78,316","$56,956","$60,411","$63,679","$66,787"
"8","$63,746","$69,209","$76,495","$83,780","$60,411","$63,679","$66,787","$69,757"
"9","$69,209","$74,673","$81,959","$89,244","$63,679","$66,787","$69,757","$72,605"
"10","$74,673","$80,137","$87,422","$94,708","$66,787","$69,757","$72,605","$75,346"
