"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pirin 1922","2004-05","b group","29","0","5","0","-","-","34","0","none","none"
"pirin 1922","2005-06","a group","13","0","3","0","-","-","16","0","none","none"
"pirin blagoevgrad","2006-07","b group","16","0","3","0","-","-","19","0","none","none"
"pirin blagoevgrad","2007-08","a group","27","1","3","0","-","-","30","1","none","none"
"pirin blagoevgrad","2008-09","a group","22","0","4","0","-","-","26","0","none","none"
"pirin blagoevgrad","pirin total","pirin total","104","1","21","0","-","-","0","0","125","1"
"litex lovech","2009-10","a group","18","2","2","0","-","-","0","0","20","2"
"litex lovech","2010-11","a group","25","2","3","0","-","-","5","0","33","2"
"litex lovech","2011-12","a group","19","3","3","0","-","-","6","1","28","4"
"litex lovech","2012-13","a group","18","0","5","0","-","-","23","0","none","none"
"litex lovech","2013-14","a group","27","1","2","0","-","-","29","1","none","none"
"litex lovech","2014-15","a group","2","0","0","0","-","-","4","0","6","0"
"litex lovech","litex total","litex total","109","8","15","0","-","-","15","1","139","9"
"fulham","2014-15","championship","38","1","4","0","2","0","-","-","44","1"
"fulham","2015-16","championship","3","0","0","0","2","0","-","-","5","0"
"fulham","fulham total","fulham total","41","1","4","0","4","0","0","0","49","1"
"midtjylland","2015-16","danish superliga","15","0","0","0","-","-","2","0","17","0"
"midtjylland","midtjylland total","midtjylland total","15","0","0","0","0","0","2","0","17","0"
"cska sofia","2016-17","first league","16","1","0","0","-","-","16","1","none","none"
"cska sofia","2017-18","first league","33","2","3","1","-","-","36","3","none","none"
"cska sofia","2018-19","first league","27","0","4","0","-","-","3","0","34","0"
"cska sofia","cska total","cska total","76","3","7","1","-","-","3","0","85","4"
"career total","career total","career total","339","13","47","1","4","0","19","1","409","15"
