"characteristics","metis","metis","non-aboriginal","non-aboriginal"
"characteristics","number","%","number","%"
"total","36,700","100.0","2,827,600","100.0"
"hospitalized for ambulatory care sensitive condition","400","1.0","20,300","0.7"
"age group","","","",""
"18 to 20","2,900","8.0","155,800","5.5"
"21 to 40","16,200","44.0","1,042,100","36.9"
"41 to 74","17,600","48.0","1,629,800","57.6"
"sex","","","",""
"men","18,900","51.4","1,444,800","51.1"
"women","17,900","48.6","1,382,900","48.9"
"province/territory","","","",""
"atlantic","1,100","3.0","236,300","8.4"
"ontario","9,000","24.5","1,533,100","54.2"
"manitoba","7,300","19.9","111,200","3.9"
"saskatchewan","3,900","10.6","81,300","2.9"
"alberta","8,800","23.9","373,000","13.2"
"british columbia","6,400","17.3","486,700","17.2"
"territories","300","0.8","6,000","0.2"
"statistical area classification type","","","",""
"census metropolitan area","20,700","56.4","2,123,400","75.1"
"census agglomeration","2,500","6.9","125,800","4.4"
"census agglomeration","6,600","18.1","272,700","9.6"
"strong metropolitan-influenced zone","1,700","4.6","119,500","4.2"
"moderate metropolitan-influenced zone","5,200","14.1","186,300","6.6"
"household income quintile","","","",""
"1","5,100","13.8","259,400","9.2"
"2","4,500","12.3","237,500","8.4"
"3","7,000","19.1","463,200","16.4"
"4","11,400","31.0","904,000","32.0"
"5","8,700","23.8","963,500","34.1"
"educational attainment","","","",""
"less than secondary graduation","9,900","26.9","455,300","16.1"
"secondary graduation or more","26,800","73.1","2,372,300","83.9"
"living arrangements","","","",""
"alone","4,300","11.6","298,900","10.6"
"with others","32,500","88.4","2,528,700","89.4"
"labour force status","","","",""
"not employed","2,400","6.6","119,100","4.2"
"not in labour force","9,100","24.8","725,500","25.7"
"employed","25,200","68.6","1,983,000","70.1"
