"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crewe alexandra","2013-14","league one","9","0","0","0","0","0","0","0","9","0"
"crewe alexandra","2014-15","league one","16","2","2","0","2","1","1","0","21","3"
"crewe alexandra","total","total","25","2","2","0","2","1","1","0","30","3"
"cheltenham town","2015-16","national league","37","11","3","0","-","-","1","0","41","11"
"cheltenham town","2016-17","league two","46","12","3","2","2","0","4","2","55","16"
"cheltenham town","total","total","83","23","6","2","2","0","5","2","96","27"
"northampton town","2017-18","league one","17","0","2","0","1","0","3","0","23","0"
"cambridge united","2017-18","league two","18","2","0","0","0","0","0","0","18","2"
"career total","career total","career total","143","27","10","2","5","1","9","2","167","32"
