"","1999","1999","2012","2012"
"","coefficient","bootstrap standard error","coefficient","bootstrap standard error"
"top after-tax income quintile","0.318","0.028","0.679","0.023"
"bottom after-tax income quintile","0.098","0.011","0.253","0.025"
"top after-tax income quintile minus bottom after-tax income quintile","0.219","0.030","0.426","0.035"
"explained portion of difference","0.136","0.028","0.302","0.051"
"unexplained portion of difference","0.083","0.044","0.123","0.070"
"detailed explained components","","","",""
"net worth","0.077","0.025","0.184","0.044"
"parental education","0.052","0.017","0.103","0.023"
"parental age","0.007","0.009","-0.008","0.017"
"parental marital status","0.007","0.006","0.031","0.015"
"number of children","-0.008","0.005","-0.012","0.008"
"age of youngest child","0.004","0.007","0.003","0.018"
"age of oldest child","-0.011","0.006","-0.009","0.013"
"region","0.008","0.005","0.005","0.005"
"urban/rural status","-0.001","0.005","0.005","0.003"
