"party","first round","first round","first round","second round","second round","second round","total seats","+/-"
"party","votes","%","seats","votes","%","seats","total seats","+/-"
"uzbekistan liberal democratic party","","","47","","","5","52","-1"
"uzbekistan national revival democratic party","","","28","","","8","36","+5"
"people's democratic party of uzbekistan","","","21","","","6","27","-5"
"justice social democratic party","","","17","","","3","20","+1"
"ecological movement","-","-","-","-","-","-","15","0"
"total","18,490,245","100","113","2,642,063","100","22","150","0"
"registered voters/turnout","20,789,572","88.94","-","3,434,345","76.93","-","-","-"
"source: cec, cec","source: cec, cec","source: cec, cec","source: cec, cec","source: cec, cec","source: cec, cec","source: cec, cec","source: cec, cec","source: cec, cec"
