"","spouse-pair income","individual income","employment","hours worked","hourly wage"
"","dollars","dollars","percentage points","hours","dollars"
"individual health","","","","",""
"self-reported general health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-27,800","-14,800","-22.1","-3.1","-1.3"
"self-reported mental health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-10,500","-8,100","-13.5","0.3","-1.0"
"spousal health","","","","",""
"self-reported general health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-11,900","2,500","-0.8","-1.7","-0.1"
"self-reported mental health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-19,000","-3,600","-2.5","-1.0","-2.1"
"n. obs","2,814","2,814","2,814","2,074","2,074"
