"year","team","gp","gs","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","comp","att","yds","td","int","rate","att","yds","avg","td","fmb","lst"
"2005","ne","2","0","13","24","183","2","1","89.4","6","12","2.0","0","2","0"
"2006","ne","6","0","5","8","32","0","0","70.8","2","4","2.0","0","1","1"
"2007","ne","6","0","4","7","38","0","1","32.7","4","12","3.0","1","1","0"
"2008","ne","16","15","327","516","3,693","21","11","89.4","73","270","3.7","2","7","4"
"2009","kc","15","15","271","493","2,924","16","16","69.9","50","189","3.8","0","14","3"
"2010","kc","15","15","262","450","3,116","27","7","93.0","33","125","3.8","0","3","1"
"2011","kc","9","9","160","269","1,713","10","9","76.6","25","99","4.0","0","5","2"
"2012","kc","9","9","161","277","1,796","6","12","66.7","27","145","5.4","1","9","7"
"2013","min","9","9","153","254","1,807","11","9","81.6","18","57","3.2","1","3","1"
"2014","min","3","3","41","71","425","3","4","65.8","9","18","2.0","0","3","0"
"2015","buf","1","1","0","0","0","0","0","0.0","0","0","0.0","0","0","0"
"2015","dal","9","7","119","204","1,276","5","7","70.6","15","78","5.2","0","4","0"
"2016","ten","4","1","30","51","284","2","2","71.0","4","3","0.8","0","1","0"
"2017","ten","2","1","25","42","162","1","2","55.9","0","0","0","0","2","2"
"2018","det","2","0","7","17","59","0","1","26.3","2","13","6.5","0","0","0"
"","total","108","81","1,578","2,683","17,508","104","82","78.6","267","1,011","3.8","5","55","21"
"source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com","source:espn.com"
