"year","team","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing"
"year","team","cmp","att","pct","yds","td","int","rtg","att","yds","td"
"2010","dallas","31","46","67.4","442","10","1","128.80","2","2","0"
"2011","dallas","360","557","64.6","4,741","90","17","118.27","15","8","0"
"2012","philadelphia","362","540","67.0","4,790","115","18","120.60","13","6","2"
"2013","philadelphia","390","573","68.1","4,699","96","14","122.37","9","18","0"
"2014","philadelphia","363","562","64.6","4,328","85","18","112.46","5","17","0"
"2015","philadelphia","411","620","66.3","4,995","119","12","122.41","4","15","1"
"2016","philadelphia","339","490","69.2","4,303","101","13","124.86","1","3","0"
"2017","philadelphia","243","365","66.6","3,175","82","10","121.97","3","12","1"
"2018","philadelphia","145","209","69.4","1,728","36","6","121.97","5","0","0"
"career","career","2,644","3,962","66.7","33,201","734","109","120.73","57","23","4"
