"club","season","domestic league","domestic league","domestic cup","domestic cup","european competition1","european competition1","other tournaments2","other tournaments2","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"piacenza","1991-92","2","0","1","0","-","-","3","0","none","none"
"albinoleffe","1992-93","21","13","0","0","-","-","21","13","none","none"
"hellas verona","1993-94","36","13","1","1","-","-","37","14","none","none"
"piacenza","1994-95","37","15","4","2","-","-","41","17","none","none"
"parma","1995-96","15","2","1","0","6","2","-","-","22","4"
"atalanta","1996-97","33","24","1","1","-","-","34","25","none","none"
"juventus","1997-98","31","18","4","1","10","6","1","2","46","27"
"juventus","1998-99","28","13","1","0","10","6","33","13","42","20"
"juventus","1999-2000","33","15","2","1","8","10","-","-","43","26"
"juventus","2000-01","28","11","0","0","6","5","-","-","34","16"
"juventus","total","120","57","7","2","34","27","4","3","165","89"
"milan","2001-02","20","10","1","2","7","4","-","-","28","16"
"milan","2002-03","30","17","3","1","16","12","-","-","49","30"
"milan","2003-04","14","3","3","2","9","2","2","0","28","7"
"milan","2004-05","11","0","2","0","2","1","-","-","15","1"
"milan","2005-06","23","12","2","1","6","4","-","-","31","17"
"milan","2006-07","20","2","5","3","12","6","-","-","37","11"
"milan","2007-08","21","11","0","0","6","5","2","2","29","18"
"milan","2008-09","26","13","0","0","6","3","-","-","32","16"
"milan","2009-10","24","2","2","1","7","2","-","-","33","5"
"milan","2010-11","6","2","0","0","3","2","-","-","9","4"
"milan","2011-12","7","1","2","0","0","0","-","-","9","1"
"milan","total","202","73","20","10","74","41","4","2","300","126"
"career total","career total","466","197","35","16","114","70","8","5","623","288"
