"census metropolitan areas","dwelling type share","dwelling type share","census tract apartment share","census tract apartment share","census tract apartment share","census tract apartment share","census tract apartment share"
"census metropolitan areas","apartment","other","5th","25th","50th","75th","95th"
"census metropolitan areas","percent","percent","percent","percent","percent","percent","percent"
"halifax","17","83","1","11","20","32","67"
"quebec","10","90","1","4","9","20","43"
"montreal","9","91","1","4","9","21","57"
"ottawa-gatineau","13","87","2","6","16","37","64"
"toronto","27","73","3","11","27","53","91"
"winnipeg","14","86","2","6","13","25","43"
"calgary","11","89","2","5","10","21","43"
"edmonton","12","88","2","5","11","20","53"
"vancouver","22","78","2","7","17","36","75"
