year,team,games,,receiving,,,,,kickoff return,,,,,punt return,,,,,fumbles,
,,gp,gs,rec,yds,avg,lng,td,ret,yds,avg,lng,td,ret,yds,avg,lng,td,fum,lost
2009,stl,14,2,43,326,7.6,25,1,66,1,618,24.5,58,0,31,360,11.6,56,0,4,1
2010,stl,16,6,85,689,8.1,36,3,50,1,142,22.8,84,0,40,452,11.3,42,0,2,1
2011,stl,1,1,5,45,9.0,18,0,0,0,0,0,0,1,0,0,0,0,1,0
2012,stl,11,8,63,666,10.6,56,3,2,16,8.0,12,0,17,122,7.2,22,0,3,2
2013,ne,12,6,54,633,11.7,57,2,0,0,0,0,0,1,13,13.0,13,0,0,0
2014,ne,16,4,27,200,7.4,21,1,20,482,24.1,81,0,16,132,8.3,39,0,0,0
2015,ne,14,7,65,648,10.0,41,3,8,172,21.5,29,0,23,276,12.0,82,0,1,1
2016,ne,12,4,23,243,10.6,32,4,5,129,25.8,73,0,18,121,6.7,30,0,3,1
2017,ne,15,8,61,659,10.8,27,2,1,16,16.0,16,0,27,231,8.6,40,0,2,0
2018,mia,15,15,59,575,9.7,39,1,0,0,0.0,0,0,11,59,5.4,12,0,2,0
total,,126,61,485,4,684,9.7,57,20,152,3,575,23.5,84,0,185,1,766,9.5,82,0,18,6
