"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fulham","1968-69","second division","13","5","0","0","0","0","0","0","13","5"
"luton town","1969-70","third division","46","25","3","1","5","2","0","0","54","28"
"luton town","1970-71","second division","42","24","2","4","3","2","0","0","47","30"
"luton town","total","total","88","49","5","5","8","4","0","0","101","58"
"newcastle united","1971-72","first division","42","23","2","2","2","1","6","4","52","30"
"newcastle united","1972-73","first division","35","17","2","1","1","1","9","5","47","24"
"newcastle united","1973-74","first division","29","15","9","7","2","3","4","3","44","28"
"newcastle united","1974-75","first division","42","21","2","0","6","6","8","5","58","32"
"newcastle united","1975-76","first division","39","19","7","4","7","1","3","0","56","24"
"newcastle united","total","total","187","95","22","14","18","12","30","17","257","138"
"arsenal","1976-77","first division","41","25","3","3","6","1","0","0","50","29"
"arsenal","1977-78","first division","39","15","6","7","7","4","0","0","52","26"
"arsenal","1978-79","first division","4","2","0","0","1","0","1","0","6","2"
"arsenal","total","total","84","42","9","10","14","5","1","0","108","57"
"djurgardens if","1979","allsvenskan","9","2","0","0","-","-","0","0","9","2"
"career total","career total","career total","381","193","36","29","40","21","31","17","488","260"
