"province or territory","reported","unfounded","unfounded","founded","founded","cleared","cleared"
"province or territory","number","number","percent","number","rate","number","percent"
"newfoundland and labrador","","","","","","",""
"2016","347","42","12.1","305","57.5","108","35.4"
"2017","387","46","11.9","341","64.5","115","33.7"
"prince edward island","","","","","","",""
"2016","103","31","30.1","72","48.2","35","48.6"
"2017","99","24","24.2","75","49.3","36","48.0"
"nova scotia","","","","","","",""
"2016","809","175","21.6","634","66.8","314","49.5"
"2017","903","151","16.7","752","78.8","295","39.2"
"new brunswick","","","","","","",""
"2016","559","123","22.0","436","57.6","286","65.6"
"2017","655","134","20.5","521","68.6","302","58.0"
"quebec","","","","","","",""
"2016","5,201","757","14.6","4,444","53.4","2,923","65.8"
"2017","5,978","580","9.7","5,398","64.3","3,027","56.1"
"ontario","","","","","","",""
"2016","9,813","2,200","22.4","7,613","54.5","4,298","56.5"
"2017","10,392","1,498","14.4","8,894","62.7","4,947","55.6"
"manitoba","","","","","","",""
"2016","1,701","276","16.2","1,425","108.1","801","56.2"
"2017","1,675","228","13.6","1,447","108.1","823","56.9"
"saskatchewan","","","","","","",""
"2016","1,367","179","13.1","1,188","103.4","551","46.4"
"2017","1,313","164","12.5","1,149","98.7","618","53.8"
"alberta","","","","","","",""
"2016","3,355","589","17.6","2,766","65.3","1,262","45.6"
"2017","3,470","477","13.7","2,993","69.8","1,299","43.4"
"british columbia","","","","","","",""
"2016","2,837","525","18.5","2,312","48.6","1,263","54.6"
"2017","3,190","482","15.1","2,708","56.2","1,381","51.0"
"yukon","","","","","","",""
"2016","97","15","15.5","82","215.3","48","58.5"
"2017","84","15","17.9","69","179.4","41","59.4"
"northwest territories","","","","","","",""
"2016","174","35","20.1","139","311.5","94","67.6"
"2017","203","34","16.7","169","379.6","111","65.7"
"nunavut","","","","","","",""
"2016","194","31","16.0","163","438.4","126","77.3"
"2017","202","46","22.8","156","410.6","130","83.3"
"canada","","","","","","",""
"2016","26,557","4,978","18.7","21,579","59.5","12,109","56.1"
"2017","28,551","3,879","13.6","24,672","67.2","13,125","53.2"
