"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"oxford united","1991-92","second division","14","1","1","0","1","0","16","1"
"oxford united","1992-93","first division","31","3","2","0","5","2","38","5"
"oxford united","1993-94","first division","45","3","4","1","4","0","53","4"
"oxford united","1994-95","first division","36","2","0","0","6","0","42","2"
"oxford united","1995-96","first division","24","3","3","0","5","2","32","5"
"oxford united","total","total","150","12","10","1","21","4","181","17"
"nottingham forest","1995-96","premier league","3","1","0","0","0","0","3","1"
"nottingham forest","1996-97","premier league","24","0","1","1","0","0","25","1"
"nottingham forest","1997-98","first division","1","0","0","0","2","1","3","1"
"nottingham forest","total","total","28","1","1","1","2","1","31","30"
"luton town","1997-98","second division","14","1","0","0","3","0","17","1"
"cardiff city","1998-99","third division","4","0","0","0","1","0","5","0"
"port vale","1998-99","first division","5","1","0","0","0","0","5","1"
"stockport county","1999-2000","first division","16","0","1","0","0","0","17","0"
"brighton & hove albion","2000-01","third division","0","0","0","0","0","0","0","0"
"dover athletic","2001-02","conference","17","2","0","0","0","0","17","2"
"career total","career total","career total","234","17","12","2","27","5","273","24"
