"","non-mortgage payment skipped or delayed in the past year","mortgage payment skipped or delayed in the past year","payday loan used in past three years"
"","predicted probability","predicted probability","predicted probability"
"debt-to-income ratio category","","",""
"up to 1.5","0.101","0.031","0.042"
"above 1.5 and up to 3.0","0.095","0.032","0.040"
"above 3.0","0.125","0.052","0.028"
"age group of main income earner","","",""
"15 to 34 years","0.120","0.025","0.038"
"35 to 44 years","0.108","0.041","0.038"
"45 to 54 years","0.122","0.038","0.046"
"55 to 64 years","0.093","0.068","0.039"
"over 64 years","0.057","0.030","0.033"
"family type","","",""
"unattached","0.109","0.043","0.025"
"couple with no children","0.083","0.023","0.034"
"couple with children","0.107","0.041","0.041"
"lone parent","0.123","0.099","0.086"
""other" family types","0.117","0.045","0.062"
"education of main income earner","","",""
"less than high school","0.114","0.056","0.074"
"high school","0.117","0.038","0.047"
"some postsecondary","0.122","0.047","0.042"
"university diploma or degree","0.078","0.032","0.016"
"income group","","",""
"first quintile","0.129","0.065","0.041"
"second quintile","0.135","0.040","0.048"
"third quintile","0.097","0.049","0.037"
"fourth quintile","0.094","0.041","0.036"
"fifth quintile","0.050","0.021","0.026"
"region","","",""
"atlantic","0.074","0.048","0.037"
"quebec","0.136","0.035","0.013"
"ontario","0.096","0.032","0.047"
"prairies","0.108","0.072","0.060"
"british columbia","0.089","0.034","0.045"
"sex of main income earner","","",""
"male","0.107","0.043","0.040"
"female","0.103","0.038","0.038"
"home ownership status","","",""
"own without mortgage","0.066","..","0.013"
"own with mortgage","0.086","..","0.022"
"do not own","0.146","..","0.078"
