"team","year","regular season","regular season","regular season","regular season","regular season","post season","post season","post season","post season"
"team","year","won","lost","ties","win %","finish","won","lost","win %","result"
"la","1973","12","2","0",".857","1st in nfc west","0","1",".000","lost to dallas cowboys in divisional game"
"la","1974","10","4","0",".714","1st in nfc west","1","1",".500","lost to minnesota vikings in nfc championship"
"la","1975","12","2","0",".857","1st in nfc west","1","1",".500","lost to dallas cowboys in nfc championship"
"la","1976","10","3","1",".769","1st in nfc west","1","1",".500","lost to minnesota vikings in nfc championship"
"la","1977","10","4","0",".714","1st in nfc west","0","1",".000","lost to minnesota vikings in divisional game"
"buf","1978","5","11","0",".313","4th in afc east","-","-","-","-"
"buf","1979","7","9","0",".438","4th in afc east","-","-","-","-"
"buf","1980","11","5","0",".688","1st in afc east","0","1",".000","lost to san diego chargers in divisional game"
"buf","1981","10","6","0",".625","3rd in afc east","1","1",".500","lost to cincinnati bengals in divisional game"
"buf","1982","4","5","0",".444","4th in afc east","-","-","-","-"
"buf total","buf total","37","36","0",".507","none","1","2",".333","-"
"sea","1983","9","7","0",".563","2nd in afc west","2","1",".667","lost to los angeles raiders in afc championship"
"sea","1984","12","4","0",".750","2nd in afc west","1","1",".500","lost to miami dolphins in divisional game"
"sea","1985","8","8","0",".500","3rd in afc west","-","-","-","-"
"sea","1986","10","6","0",".625","2nd in afc west","-","-","-","-"
"sea","1987","9","6","0",".600","2nd in afc west","0","1",".000","lost to houston oilers in wild card game"
"sea","1988","9","7","0",".563","1st in afc west","0","1",".000","lost to cincinnati bengals in divisional game"
"sea","1989","7","9","0",".438","4th in afc west","-","-","-","-"
"sea","1990","9","7","0",".563","3rd in afc west","-","-","-","-"
"sea","1991","7","9","0",".438","4th in afc west","-","-","-","-"
"sea total","sea total","80","63","0",".559","none","3","4",".429","-"
"la","1992","6","10","0",".375","4th in nfc west","-","-","-","-"
"la","1993","5","11","0",".313","4th in nfc west","-","-","-","-"
"la","1994","4","12","0",".250","4th in nfc west","-","-","-","-"
"la total","la total","69","48","1",".589","none","3","5",".375","-"
"nfl total","nfl total","186","147","1",".558","none","7","11",".389","-"
"total","total","186","147","1",".558","none","7","11",".389","-"
