"jurisdiction","sentenced custody","sentenced custody","sentenced custody","remand","remand","remand","probation","probation","probation"
"jurisdiction","number","rate","change in rate from 2012/2013","number","rate","change in rate from 2012/2013","number","rate","change in rate from 2012/2013"
"newfoundland and labrador","196","45","-6","91","21","30","1,578","364","-5"
"prince edward island","93","80","7","21","18","2","876","750","3"
"nova scotia","172","22","9","331","43","6",".","..",".."
"new brunswick","283","46","2","136","22","-6",".","..",".."
"quebec","2,814","42","3","2,365","36","0","10,848","163","0"
"ontario","2,981","27","-10","5,006","46","-7","47,702","440","-6"
"manitoba","888","91","6","1,482","152","-9","7,043","721","1"
"saskatchewan","1,062","124","2","610","71","0","4,089","477","-1"
"british columbia","1,148","31","-4","1,252","33","-4","11,197","299","-3"
"yukon","34","115","-18","48","163","-23","317","1,083","8"
"northwest territories","151","466","2","94","289","11","384","1,181","-18"
"nunavut","67","295","21","58","254","-8","872","3,838","-7"
"provinces and territories - total","9,889","39","-2","11,493","46","-4","84,905","358","-4"
"federal","15,141","54","3",".","..","..",".","..",".."
