"","type of donor","type of donor","type of donor","sex of donor","sex of donor","age group of donor","age group of donor","age group of donor"
"","all donors","primary donors","other donors","men","women","15 to 34 years","35 to 54 years","55 years and older"
"","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"reasons for donating","","","","","","","",""
"you or someone you know has been personally affected by the cause the organization supports","67","74","66","63","72","59","71","70"
"the government will give you a credit on your income taxes","26","44","23","26","26","16","27","32"
"to fulfill religious obligations or other beliefs","29","62","26","27","31","24","27","36"
"to help a cause in which you personally believed","88","97","87","85","90","84","90","89"
"you felt compassion towards people in need","91","98","91","89","94","89","92","93"
"you wanted to make a contribution to the community","82","90","81","80","84","82","84","80"
"a family member, friend, neighbour or colleague requested that you make a donation","45","50","44","43","47","44","52","39"
