"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gretna","2007-08","scottish premier league","26","4","1","0","1","1","0","0","28","5"
"queen of the south","2008-09","scottish first division","24","1","1","0","1","0","0","0","26","1"
"queen of the south","2009-10","scottish first division","0","0","0","0","0","0","1","0","1","0"
"queen of the south total","queen of the south total","queen of the south total","24","1","1","0","1","0","1","0","27","1"
"livingston f.c","2010-11","scottish second division","33","2","1","0","1","0","0","0","35","2"
"livingston f.c","2011-12","scottish first division","35","2","1","0","0","0","2","0","38","2"
"livingston f.c","2012-13","scottish first division","32","4","1","0","2","0","0","0","35","4"
"livingston total","livingston total","livingston total","100","8","3","0","3","0","2","0","108","8"
"ostersunds fk","2013","superettan","13","1","0","0","0","0","0","0","13","1"
"airdrieonians","2013-14","scottish league one","11","2","0","0","0","0","0","0","11","2"
"raith rovers","2014-15","scottish championship","12","1","1","0","0","0","0","0","13","1"
"raith rovers","2015-16","scottish championship","12","1","0","0","0","0","2","0","14","1"
"raith rovers","2016-17","scottish championship","15","2","0","0","0","0","2","0","17","2"
"raith rovers total","raith rovers total","raith rovers total","39","4","1","0","0","0","4","0","44","4"
"dumbarton","2017-18","scottish championship","32","2","3","0","3","1","8","2","46","5"
"dumbarton","2018-19","scottish league one","15","2","0","0","4","1","1","0","20","3"
"career total","career total","career total","260","24","9","0","12","3","16","2","297","29"
