"team","year","regular season","regular season","regular season","regular season","regular season","post season","post season","post season"
"team","year","won","lost","ties","win %","finish","won","lost","result"
"ssk","1979","2","14","0",".125","5th in west conference","-","-","missed playoffs"
"ssk","1980","2","14","0",".125","5th in west conference","-","-","missed playoffs"
"ssk total","ssk total","4","28","0",".125","0 west division championships","none","none","0 grey cups"
"edm","1991","12","6","0",".667","1st in west division","0","1","lost in division finals"
"edm","1992","10","8","0",".556","2nd in west division","1","1","lost in division finals"
"edm","1993","12","6","0",".667","2nd in west division","3","0","won grey cup"
"edm","1994","13","5","0",".722","2nd in west division","0","1","lost in division semi-finals"
"edm","1995","13","5","0",".722","2nd in north division","1","1","lost in division finals"
"edm","1996","11","7","0",".611","2nd in west division","2","1","lost in grey cup"
"edm","1997","12","6","0",".667","1st in west division","0","1","lost in division finals"
"edm total","edm total","83","43","0",".659","2 west division championships","7","6","1 grey cup"
"ham","1998","12","5","1",".694","1st in east division","1","1","lost in grey cup"
"ham","1999","11","7","0",".611","2nd in east division","3","0","won grey cup"
"ham","2000","9","9","0",".500","2nd in east division","0","1","lost in division semi-finals"
"ham","2001","11","7","0",".611","2nd in east division","1","1","lost in division finals"
"ham","2002","7","11","0",".389","3rd in east division","-","-","missed playoffs"
"ham","2003","1","17","0",".056","4th in east division","-","-","missed playoffs"
"ham","2006","4","10","0",".286","4th in east division","-","-","missed playoffs"
"ham total","ham total","55","66","1",".455","1 east division championship","5","3","1 grey cup"
"total","total","142","137","1",".509","2 west division championships 1 east division championship","12","9","2 grey cups"
