"season","club","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"season","club","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"as monaco","2005-06","ligue 1","1","0","0","0","0","0","0","0","1","0"
"as monaco","2006-07","ligue 1","0","0","0","0","0","0","-","-","0","0"
"as monaco","2007-08","ligue 1","7","0","0","0","0","0","-","-","7","0"
"as monaco","2009-10","ligue 1","0","0","0","0","0","0","-","-","0","0"
"as monaco","total","total","8","0","0","0","0","0","0","0","8","0"
"nimes","2008-09","ligue 2","14","0","0","0","0","0","-","-","14","0"
"blackpool","2010-11","premier league","0","0","0","0","0","0","-","-","0","0"
"middlesbrough","2011-12","championship","15","3","1","0","2","0","-","-","18","3"
"lausanne-sport","2012-13","raiffeisen super league","12","1","0","0","-","-","12","1","none","none"
"sandnes ulf","2014","tippeligaen","5","0","1","0","-","-","6","0","none","none"
"sandnes ulf","2015","obos-ligaen","15","4","1","0","-","-","16","4","none","none"
"sandnes ulf","total","total","20","4","2","0","-","-","0","0","22","4"
"lillestrøm","2015","tippeligaen","11","3","0","0","-","-","11","3","none","none"
"lillestrøm","2016","tippeligaen","29","8","3","0","-","-","32","8","none","none"
"lillestrøm","total","total","40","11","3","0","-","-","0","0","43","11"
"heart of midlothian","2016-17","scottish premiership","13","1","4","1","0","0","0","0","17","2"
"heart of midlothian","2017-18","scottish premiership","1","0","0","0","3","0","-","-","4","0"
"heart of midlothian","total","total","14","1","4","1","3","0","0","0","21","2"
"dunfermline athletic","2018","scottish championship","9","0","0","0","0","0","2","0","11","0"
"dunfermline athletic","total","total","9","0","0","0","0","0","2","0","11","0"
"career total","career total","career total","131","20","10","1","5","0","2","0","148","21"
