"fiscal year","all federal obligations","r&d","r&d plant","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2009a","458","265","3","0","28","23","139"
"2010a","497","282","31","0","40","19","125"
"2011","448","258","1","0","32","22","135"
"2012","400","232","3","0","27","15","123"
"2013","380","218","3","0","25","15","119"
"2014","408","242","10","0","66","16","74"
"2015","397","257","1","0","73","15","51"
"2016","373","258","2","0","57","5","51"
"2017","308","234","1","0","59","0","14"
"constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions"
"2009a","480","278","3","0","29","24","146"
"2010a","516","293","32","0","42","20","130"
"2011","456","263","1","0","33","22","137"
"2012","400","232","3","0","27","15","123"
"2013","374","214","3","0","25","15","117"
"2014","394","234","10","0","64","15","71"
"2015","379","245","1","0","70","14","49"
"2016","352","243","2","0","54","5","48"
"2017","285","217","1","0","55","0","13"
