"group and cohort","number of years since landing or filing a refugee claim","number of years since landing or filing a refugee claim","number of years since landing or filing a refugee claim","number of years since landing or filing a refugee claim","number of years since landing or filing a refugee claim","number of years since landing or filing a refugee claim"
"group and cohort","1","2","3","4","5","6"
"group and cohort","percent","percent","percent","percent","percent","percent"
"refugee claimants-permanent residents","","","","","",""
"1999","73.8","47.3","36.4","28.0","23.9","20.5"
"2000","73.8","50.6","35.6","28.6","23.8","20.8"
"2001","77.3","47.9","33.3","26.0","22.0","18.6"
"2002","73.2","46.5","32.5","24.1","19.4","17.6"
"2003","67.0","42.1","29.8","22.1","19.9","18.1"
"2004","73.3","47.6","32.7","24.8","21.9","20.2"
"2005","71.5","45.0","31.0","25.3","22.3","19.3"
"2006","73.3","47.3","34.7","28.5","24.4","21.3"
"2007","77.4","47.9","37.8","29.8","24.1","19.9"
"2008","77.0","52.7","37.8","29.6","23.7","20.1"
"2009","74.0","49.8","35.2","26.9","22.2","19.8"
"2010","71.1","46.4","33.7","27.1","22.4","19.8"
"government-assisted refugees","","","","","",""
"1999","90.8","60.0","42.7","31.3","25.2","22.2"
"2000","90.3","68.9","52.9","43.0","34.5","30.7"
"2001","89.4","68.4","57.1","46.7","39.9","35.8"
"2002","91.1","69.8","57.4","46.0","39.4","36.9"
"2003","91.4","68.1","56.3","49.4","42.0","38.3"
"2004","92.7","70.5","55.0","47.7","40.8","39.6"
"2005","92.7","69.7","59.4","51.8","47.3","43.9"
"2006","90.5","66.6","58.5","52.7","47.3","41.6"
"2007","95.0","71.3","63.5","55.3","46.9","40.8"
"2008","93.6","72.7","62.1","52.8","45.3","40.4"
"2009","96.9","75.1","65.1","57.8","49.4","43.9"
"2010","96.7","77.4","67.0","57.2","52.1","48.4"
"privately sponsored refugees","","","","","",""
"1999","24.5","31.9","28.1","23.2","19.9","19.0"
"2000","21.8","27.2","27.6","26.6","23.1","19.8"
"2001","20.8","27.2","28.3","26.1","22.9","19.2"
"2002","22.3","29.0","27.9","25.7","22.2","22.7"
"2003","18.4","23.6","23.2","20.7","18.4","16.3"
"2004","18.1","22.5","22.0","21.3","20.8","20.6"
"2005","19.0","22.5","23.2","22.5","24.0","22.1"
"2006","14.6","21.2","22.1","22.1","21.2","20.1"
"2007","15.9","21.4","23.0","22.6","20.4","18.9"
"2008","17.9","22.9","23.2","20.3","17.4","16.3"
"2009","21.7","26.9","26.0","23.7","22.1","20.9"
"2010","20.4","25.8","24.2","22.8","22.8","21.2"
"refugee claimants-non-permanent residents","","","","","",""
"1999","74.0","46.9","31.4","25.3","23.1","18.2"
"2000","72.4","50.3","32.6","23.0","18.9","15.6"
"2001","72.5","44.2","29.0","19.9","16.3","12.5"
"2002","60.6","36.4","21.8","14.9","11.3","10.3"
"2003","62.0","36.0","23.3","14.6","13.6","11.2"
"2004","68.5","38.3","20.7","14.2","13.0","11.9"
"2005","72.1","37.0","25.1","19.4","20.7","16.1"
"2006","73.1","44.1","29.3","24.0","20.2","13.2"
"2007","77.7","46.0","37.2","26.8","18.2","15.0"
"2008","78.7","50.8","36.9","27.0","20.9","17.0"
"2009","77.2","54.4","38.8","29.0","25.6","21.8"
"2010","80.0","51.6","35.2","27.5","22.6","21.0"
