"","first nations","first nations","non-aboriginal","non-aboriginal"
"","men","women","men","women"
"total number","26,800","34,420","1,261,510","1,248,775"
"percentage","100","100","100","100"
"age group","","","",""
"25 to 34","42","45","28","31"
"35 to 44","28","28","27","28"
"45 to 54","16","15","19","18"
"55 to 64","9","8","15","13"
"65 to 74","5","4","11","11"
"region","","","",""
"atlantic provinces","5","5","8","8"
"quebec","12","13","26","26"
"ontario","18","17","37","37"
"manitoba","18","16","4","4"
"saskatchewan","12","13","4","3"
"alberta","9","12","9","9"
"british columbia","20","19","12","12"
"territories","6","5","1","1"
"educational attainment","","","",""
"less than secondary school graduation","58","55","33","32"
"secondary school graduation","33","30","38","36"
"postsecondary diploma","7","13","13","19"
"university degree","2","3","16","13"
"income adequacy quintile","","","",""
"1","42","45","13","17"
"2","25","24","18","19"
"3","16","15","22","21"
"4","11","10","23","21"
"5","7","6","24","21"
