"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"heart of midlothian","2003-04","scottish premier league","6","0","0","0","0","0","0","0","6","0"
"heart of midlothian","2004-05","scottish premier league","12","0","1","0","1","0","0","0","14","0"
"heart of midlothian","2005-06","scottish premier league","12","1","2","0","2","0","-","-","16","1"
"heart of midlothian","2006-07","scottish premier league","35","1","1","0","2","0","6","0","44","1"
"heart of midlothian","2007-08","scottish premier league","35","2","2","0","4","1","-","-","41","3"
"heart of midlothian","2008-09","scottish premier league","23","0","1","0","1","0","-","-","25","0"
"heart of midlothian","total","total","123","4","7","0","10","1","6","0","146","5"
"wolverhampton wanderers","2008-09","championship","15","0","-","-","15","0","none","none","none","none"
"wolverhampton wanderers","2009-10","premier league","32","0","2","0","2","0","-","-","36","0"
"wolverhampton wanderers","2010-11","premier league","32","0","2","0","2","0","-","-","36","0"
"wolverhampton wanderers","2011-12","premier league","32","0","2","0","1","0","-","-","35","0"
"wolverhampton wanderers","2012-13","championship","30","0","1","0","1","0","-","-","32","0"
"wolverhampton wanderers","total","total","141","0","7","0","6","0","-","-","154","0"
"ipswich town","2013-14","championship","42","5","2","0","1","0","-","-","45","5"
"ipswich town","2014-15","championship","45","6","2","0","1","0","2","0","50","6"
"ipswich town","2015-16","championship","43","1","0","0","1","0","-","-","44","1"
"ipswich town","2016-17","championship","44","2","2","0","0","0","-","-","46","2"
"ipswich town","total","total","174","14","6","0","3","0","2","0","185","14"
"heart of midlothian","2017-18","scottish premiership","37","2","3","0","4","1","-","-","44","3"
"heart of midlothian","2018-19","scottish premiership","23","0","5","2","4","0","-","-","32","2"
"heart of midlothian","total","total","60","2","8","2","8","1","0","0","76","5"
"career total","career total","career total","499","20","28","2","27","2","8","0","562","24"
