"","total","men","women"
"","percent","percent","percent"
"religion six month after admission to canada","","",""
"none","25.7","25.4","26.0"
"catholic","18.2","17.4","19.0"
"protestant","11.9","11.4","12.4"
"orthodox","8.1","7.6","8.7"
"muslim","18.3","20.4","15.9"
"eastern religion","16.9","16.6","17.3"
"other","1.0","1.2","0.8"
"designated visible minority group","","",""
"not in a visible minority group","20.1","20.2","20.0"
"filipino","7.5","7.4","7.7"
"latin american","2.6","2.2","3.0"
"chinese","24.9","23.4","26.5"
"black","4.5","4.7","4.4"
"south and southeast asian","25.5","26.0","24.8"
"arab","5.9","7.0","4.7"
"west asian","3.4","3.5","3.3"
"korean and japanese","4.6","4.5","4.7"
"multiple or not stated","1.0","1.1","0.9"
