"primary work activity","mid- and late-career doctorate holdera","mid- and late-career doctorate holdera","mid- and late-career doctorate holdera","mid- and late-career doctorate holdera","mid- and late-career doctorate holdera","early career doctorate holdera","early career doctorate holdera","early career doctorate holdera","early career doctorate holdera","early career doctorate holdera"
"primary work activity","total employed","male","male","female","female","total employed","male","male","female","female"
"primary work activity","total employed","number","%","number","%","total employed","number","%","number","%"
"primary work activity, totalb","510550","350950","68.7","159600","31.3","304550","176900","58.1","127650","41.9"
"research and development","186700","141700","75.9","45000","24.1","151800","95850","63.1","55950","36.9"
"basic research","46400","34150","9.7","12250","7.7","43850","27400","15.5","16450","12.9"
"applied research","88950","65300","18.6","23650","14.8","70250","42100","23.8","28150","22"
"development","37650","30100","8.6","7550","4.7","27900","19250","10.9","8650","6.8"
"design","13650","12200","3.5","1500","0.9","9800","7100","4","2700","2.1"
"managing or supervising people or projects","88250","60850","17.3","27400","17.2","30800","16700","9.4","14100","11.1"
"professional servicesc","70850","38450","11","32400","20.3","26600","11250","6.4","15350","12"
"teaching","98850","62200","17.7","36700","23","54550","27000","15.3","27600","21.6"
"all other primary work activitiesd","65900","47700","13.6","18150","11.4","40800","26150","14.8","14650","11.5"
