"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fc gossau","2009-10","swiss challenge league","18","2","0","0","-","-","18","2","none","none"
"fc wohlen","2010-11","swiss challenge league","23","4","1","0","-","-","24","4","none","none"
"fc wohlen","2011-12","swiss challenge league","25","2","1","1","-","-","26","3","none","none"
"fc wohlen","total","total","66","8","2","1","0","0","0","0","68","9"
"chicago fire","2012","major league soccer","17","2","0","0","1","1","-","-","18","3"
"chicago fire","2013","major league soccer","30","1","4","0","-","-","34","1","none","none"
"chicago fire","2014","major league soccer","28","0","3","1","-","-","31","1","none","none"
"chicago fire","2015","major league soccer","1","0","0","0","-","-","1","0","none","none"
"chicago fire","total","total","76","3","7","1","1","1","0","0","84","5"
"houston dynamo","2015","major league soccer","15","2","2","0","-","-","17","2","none","none"
"houston dynamo","2016","major league soccer","30","5","3","2","-","-","33","7","none","none"
"houston dynamo","2017","major league soccer","32","2","1","0","5","0","-","-","38","2"
"houston dynamo","total","total","77","9","6","2","5","0","0","0","88","11"
"suwon fc","2018","k league 2","30","5","0","0","-","-","11","2","none","none"
"career totals","career totals","career totals","249","25","15","4","6","1","0","0","251","27"
