"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","gp","gs","comp","att","pct","yds","y/a","td","int","rtg","att","yds","avg","td","sack","yds","fum","lost"
"2005","stl","4","3","76","135","56.3","777","5.8","4","8","58.2","14","64","4.6","2","9","49","3","1"
"2006","stl","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"2007","cin","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","cin","13","12","221","372","59.4","1,905","5.1","8","9","70.0","60","304","5.1","2","38","193","11","5"
"2009","buf","10","8","127","227","55.9","1,422","6.3","9","10","69.7","31","141","4.5","1","21","127","3","2"
"2010","buf","13","13","255","441","57.8","3,000","6.8","23","15","81.8","40","269","6.7","0","24","145","8","5"
"2011","buf","16","16","353","569","62.0","3,832","6.7","24","23","79.1","56","215","3.8","0","22","148","7","2"
"2012","buf","16","16","306","505","60.6","3,400","6.7","24","16","83.3","48","197","4.1","1","30","161","8","6"
"2013","ten","11","9","217","350","62.0","2,454","7.0","14","12","82.0","43","225","5.2","3","21","109","9","2"
"2014","hou","12","12","197","312","63.1","2,483","8.0","17","8","95.3","50","184","3.7","2","21","83","5","1"
"2015","nyj","16","16","335","562","59.6","3,905","6.9","31","15","88.0","60","270","4.5","2","19","94","5","2"
"2016","nyj","14","11","228","403","56.6","2,710","6.7","12","17","69.6","33","130","3.9","0","19","81","9","1"
"2017","tb","6","3","96","163","58.9","1,103","6.8","7","3","86.0","15","78","5.2","0","7","34","0","0"
"2018","tb","8","7","164","246","66.7","2,366","9.6","17","12","100.4","36","152","4.2","2","14","76","4","1"
"total","total","141","126","2,575","4,285","60.1","29,357","6.9","190","148","81.1","489","2,229","4.6","15","245","1,300","72","28"
