"club","season","division","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"blackpool","1949-50","first division","8","1","0","0","0","0","8","1"
"blackpool","1950-51","first division","37","17","8","3","0","0","45","20"
"blackpool","1951-52","first division","8","4","0","0","0","0","8","4"
"blackpool","1952-53","first division","20","5","7","1","0","0","27","6"
"blackpool","1953-54","first division","25","11","1","0","0","0","26","11"
"blackpool","1954-55","first division","24","7","1","0","0","0","25","7"
"blackpool","1955-56","first division","42","22","1","0","0","0","43","22"
"blackpool","1956-57","first division","38","32","4","6","0","0","42","38"
"blackpool","1957-58","first division","34","18","0","0","0","0","40","18"
"blackpool","1958-59","first division","40","14","6","0","0","0","46","14"
"blackpool","1959-60","first division","31","9","2","0","0","0","33","9"
"blackpool","1960-61","first division","15","4","1","1","1","0","17","5"
"blackpool","total","total","322","144","31","11","1","0","365","155"
"stoke city","1960-61","second division","13","3","0","0","0","0","13","3"
"stoke city","1961-62","second division","32","6","1","1","2","0","35","7"
"stoke city","1962-63","second division","39","20","0","0","1","0","40","20"
"stoke city","1963-64","first division","4","3","0","0","1","0","5","3"
"stoke city","total","total","88","32","1","1","4","0","93","33"
"port vale","1963-64","third division","18","6","3","1","0","0","21","7"
"port vale","1964-65","third division","18","2","1","0","0","0","19","2"
"port vale","1965-66","fourth division","13","1","3","1","1","0","17","2"
"port vale","1966-67","fourth division","5","0","2","0","0","0","7","0"
"port vale","total","total","54","9","9","2","1","0","64","11"
"career total","career total","career total","464","185","41","14","7","0","512","199"
