"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"coventry city","1985-86","first division","8","0","0","0","1","0","9","0"
"coventry city","1986-87","first division","1","0","0","0","0","0","1","0"
"coventry city","total","total","9","0","0","0","1","0","10","0"
"rotherham united","1986-87","third division","36","4","3","0","2","0","41","4"
"rotherham united","1987-88","third division","36","6","3","0","7","2","46","8"
"rotherham united","1988-89","fourth division","15","3","0","0","4","0","19","3"
"rotherham united","total","total","87","13","6","0","13","2","106","15"
"port vale","1991-92","second division","5","0","0","0","0","0","5","0"
"leeds united","1988-89","second division","18","1","1","0","0","0","19","1"
"leeds united","1989-90","second division","16","2","0","0","4","1","20","3"
"leeds united","1990-91","first division","12","0","0","0","7","1","19","1"
"leeds united","1991-92","first division","0","0","1","0","2","0","3","0"
"leeds united","total","total","46","3","2","0","13","2","61","5"
"huddersfield town","1993-94","second division","6","0","0","0","0","0","6","0"
"notts county","1991-92","first division","15","1","0","0","0","0","15","1"
"notts county","1992-93","first division","22","1","1","0","1","0","24","1"
"notts county","1993-94","first division","2","0","0","0","2","0","4","0"
"notts county","total","total","39","2","1","0","3","0","43","2"
"rotherham united","1993-94","second division","34","0","1","0","2","0","37","0"
"rotherham united","1994-95","second division","17","0","2","0","4","0","23","0"
"rotherham united","total","total","51","0","3","0","6","0","60","0"
"hull city","1995-96","second division","34","0","1","0","4","0","39","0"
"scarborough","1995-96","third division","1","0","0","0","1","0","2","0"
"career total","career total","career total","278","20","13","0","40","4","331","24"
