"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"defensa y justicia","2010-11","primera b nacional","18","0","0","0","-","-","0","0","18","0","none","none"
"defensa y justicia","2011-12","primera b nacional","17","0","1","0","-","-","0","0","18","0","none","none"
"defensa y justicia","2012-13","primera b nacional","16","1","1","0","-","-","0","0","17","1","none","none"
"defensa y justicia","2013-14","primera b nacional","11","0","0","0","-","-","0","0","11","0","none","none"
"defensa y justicia","total","total","62","1","2","0","-","-","0","0","64","1","none","none"
"universidad de chile","2013","chilean primera division","8","1","2","0","-","-","4","0","0","0","14","1"
"huracan","2013-14","primera b nacional","9","0","0","0","-","-","0","0","9","0","none","none"
"total","total","total","17","1","2","0","-","-","4","0","0","0","23","1"
"godoy cruz","2014","argentine primera division","5","0","0","0","-","-","2","0","0","0","7","0"
"godoy cruz","total","total","5","0","0","0","-","-","2","0","0","0","7","0"
"gimnasia y esgrima","2015","argentine primera division","4","0","0","0","-","-","0","0","4","0","none","none"
"gimnasia y esgrima","total","total","4","0","0","0","-","-","0","0","4","0","none","none"
"arsenal de sarandi","2016-17","argentine primera division","4","0","0","0","-","-","0","0","4","0","none","none"
"arsenal de sarandi","total","total","4","0","0","0","-","-","0","0","4","0","none","none"
"career total","career total","career total","92","2","4","0","-","-","6","0","0","0","102","2"
