"","immigrant families","second-generation families","third-generation-or-more families","all families"
"","percent","percent","percent","percent"
"black children","","","",""
"low income before taxes","","","",""
"2000","46.1","35.5","35.2","43.4"
"2005","43.5","34.9","31.9","40.7"
"2010","35.8","28.8","30.0","34.4"
"2015","30.0","24.9","24.4","28.8"
"low income","","","",""
"2015","27.0","24.3","26.7","27.2"
"other children","","","",""
"low income before taxes","","","",""
"2000","24.2","11.7","16.4","17.5"
"2005","25.3","11.2","14.2","16.5"
"2010","21.8","10.4","12.7","14.9"
"2015","19.2","8.1","10.3","12.8"
"low income","","","",""
"2015","18.8","9.7","12.8","14.4"
