"","average net self-employment income","average t4 earnings","average total earnings"
"","dollars","dollars","dollars"
"immigrants","","",""
"lowest quintile","-5,608","45,067","39,458"
"low-middle quintile","1,017","30,651","31,667"
"middle quintile","5,146","13,561","18,707"
"middle-high quintile","11,249","6,269","17,518"
"highest quintile","41,614","6,611","48,225"
"non-immigrants","","",""
"lowest quintile","-7,511","47,313","39,802"
"low-middle quintile","321","37,457","37,777"
"middle quintile","3,469","24,980","28,449"
"middle-high quintile","11,091","13,910","25,001"
"highest quintile","67,912","11,424","79,337"
