"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"gainare tottori","2011","j2 league","11","3","1","0","-","-","12","3"
"gainare tottori","2012","j2 league","27","2","0","0","-","-","27","2"
"gainare tottori","total","total","38","5","1","0","-","-","39","5"
"home united","2013","s.league","13","0","1","0","-","-","14","0"
"sutjeska niksic","2013-14","montenegrin first league","30","7","0","0","-","-","30","7"
"sutjeska niksic","2014-15","montenegrin first league","30","5","4","0","2","0","36","5"
"sutjeska niksic","2015-16","montenegrin first league","-","-","2","1","2","1","none","none"
"sutjeska niksic","total","total","60","12","4","0","4","1","68","13"
"tirana","2015-16","albanian superliga","34","2","3","2","-","-","37","4"
"skenderbeu korce","2016-17","albanian superliga","14","0","4","1","0","0","18","1"
"kukesi","2016-17","albanian superliga","-","-","2","0","2","0","none","none"
"kamza","2017-18","albanian superliga","33","0","2","0","-","-","35","0"
"kamza","2018-19","albanian superliga","1","1","1","0","-","-","2","1"
"kamza","total","total","34","1","3","0","-","-","37","1"
"career total","career total","career total","193","20","16","3","6","1","216","24"
