"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"west ham united","1979-80","second division","31","2","8","1","7","0","0","0","46","3"
"west ham united","1980-81","second division","3","1","1","0","3","0","3","0","10","1"
"west ham united","1981-82","first division","28","0","0","0","2","0","0","0","30","0"
"west ham united","1982-83","first division","33","0","1","0","7","2","0","0","41","2"
"west ham united","1983-84","first division","19","0","3","0","1","0","0","0","23","0"
"west ham united","1984-85","first division","38","3","5","2","4","0","0","0","47","5"
"west ham united","total","total","152","6","18","3","24","2","3","0","197","11"
"tottenham hotspur","1985-86","first division","33","2","5","0","4","0","6","0","48","2"
"tottenham hotspur","1986-87","first division","37","3","6","1","9","0","0","0","52","4"
"tottenham hotspur","1987-88","first division","39","3","1","0","3","0","0","0","43","3"
"tottenham hotspur","1988-89","first division","37","1","1","0","5","0","0","0","43","1"
"tottenham hotspur","1989-90","first division","32","6","1","0","6","2","0","0","39","8"
"tottenham hotspur","1990-91","first division","36","3","6","0","6","0","0","0","48","3"
"tottenham hotspur","1991-92","first division","39","3","2","0","7","2","8","0","56","3"
"tottenham hotspur","1992-93","premier league","38","3","5","0","4","0","0","0","47","3"
"tottenham hotspur","1993-94","premier league","1","0","0","0","0","0","0","0","1","0"
"tottenham hotspur","total","total","292","23","27","1","44","4","14","0","377","28"
"southampton","1993-94","premier league","32","1","2","0","2","0","0","0","36","1"
"southampton","1994-95","premier league","11","0","0","0","2","0","0","0","13","0"
"southampton","total","total","43","1","2","0","4","0","0","0","49","1"
"luton town","1994-95","first division","4","0","0","0","0","0","0","0","4","0"
"stoke city","1994-95","first division","17","1","0","0","0","0","2","0","19","1"
"swindon town","1995-96","second division","27","0","5","1","0","0","1","0","33","1"
"swindon town","1996-97","first division","10","1","0","0","2","0","0","0","12","1"
"swindon town","total","total","37","1","5","1","2","0","1","0","45","2"
"bristol city","1996-97","second division","14","0","0","0","0","0","3","0","17","0"
"millwall","1997-98","second division","28","0","1","0","3","0","2","0","34","0"
"career total","career total","career total","587","32","53","5","77","6","25","0","742","43"
