"","women","women","women","men","men","men"
"","participation rate","employment rate","unemployment rate","participation rate","employment rate","unemployment rate"
"","percent","percent","percent","percent","percent","percent"
"south asian","59.6","52.9","11.1","74.5","68.8","7.7"
"immigrant","57.8","51.5","11.0","75.7","70.6","6.7"
"canadian-born","67.2","59.6","11.2","67.9","59.8","11.9"
"chinese","55.9","51.4","8.1","63.3","58.5","7.7"
"immigrant","55.1","50.9","7.6","64.8","60.4","6.8"
"canadian-born","70.3","64.7","8.0","70.5","64.1","9.0"
"black","66.1","58.0","12.2","72.2","63.0","12.8"
"immigrant","65.3","58.0","11.2","75.1","67.0","10.8"
"canadian-born","68.3","59.5","12.9","67.0","56.2","16.2"
"rest of the population","61.2","57.2","6.6","69.5","63.8","8.2"
"immigrant","55.2","51.3","7.2","66.3","61.7","6.9"
"canadian-born","62.6","58.5","6.5","70.2","64.2","8.5"
