"","own-industry","own-industry","own-industry","inter-industry","inter-industry","inter-industry"
"","1990s","2000s","difference","1990s","2000s","difference"
"","percentage points","percentage points","percentage points","percentage points","percentage points","percentage points"
"business sector","-0.17","0.25","0.41","-0.01","-0.02","0.00"
"industry","","","","","",""
"agriculture, forestry, fishing and hunting","-0.08","-0.08","0.00","0.13","0.13","0.00"
"mining and oil and gas extraction","-0.08","0.38","0.45","0.02","-0.06","-0.09"
"utilities","-0.06","0.00","0.05","0.01","0.00","-0.01"
"construction","-0.17","0.25","0.42","0.18","-0.30","-0.48"
"manufacturing","-0.32","-0.47","-0.14","0.28","0.41","0.13"
"wholesale trade","0.07","-0.05","-0.12","-0.07","0.05","0.12"
"retail trade","-0.02","0.00","0.02","0.04","-0.01","-0.05"
"transport and warehousing","0.04","0.00","-0.04","-0.04","-0.01","0.04"
"information and cultural industries","0.08","-0.02","-0.10","-0.04","0.01","0.05"
"finance, insurance, real estate and renting and leasing","-0.02","0.10","0.12","0.00","-0.06","-0.06"
"professional, scientific and technical services","0.18","0.06","-0.12","-0.20","-0.07","0.13"
"administrative and support, waste management and remediation services","0.08","0.05","-0.03","-0.13","-0.09","0.04"
"arts, entertainment and recreation","0.03","0.00","-0.02","-0.04","0.00","0.04"
"accommodation and food services","0.02","-0.01","-0.02","-0.05","0.01","0.06"
"other private services","0.07","0.01","-0.06","-0.11","-0.03","0.09"
